# index eigen f_xx f_xxx pxx_x pyy_x pzz_x pxy_x pxz_x pyz_x
243    3.63474    3.74113   -0.01728 -0.00147049 0.00272147          0 0.000143091          0          0
244    3.65938     3.7694 -0.0728985 0.00126071 -0.00153113          0 -0.00248923          0          0
245    3.67072    3.76611  0.0264507 0.00128594 -0.0012007          0 -0.000863352          0          0
246    3.69868    3.79923   0.588867 0.00210495 0.000260881          0 0.000298915          0          0
247    3.73156    3.81945   0.127521 -0.00209896 -0.000100857          0 0.000803285          0          0
248    3.74126     3.8394   -0.19386 1.40261e-05 -0.00223254          0 0.000700145          0          0
249    3.76727    3.92368 -0.0321296 0.000906296 5.44712e-05          0 -0.000501964          0          0
250    3.77735    3.88524  -0.059696 -0.000758221 0.00144562          0 0.00039457          0          0
251    3.78593    3.91966   0.056438 -0.00111945 -0.000592707          0 -0.000186762          0          0
252     3.7983    3.90833 -0.0441389 0.000226726 0.000509993          0 0.00311318          0          0
253    3.82232    3.94128 -0.0684416 0.000688424 -0.000263498          0 -0.000635651          0          0
254    3.82973    3.92141 -0.00463857 -2.68622e-05 -0.00213772          0 -0.00161573          0          0
255    3.84557    3.98171  -0.019368 0.000236174 0.00138798          0 -0.00127579          0          0
256       3.87    3.97397  0.0319741 0.000103411 -0.000910273          0 0.000186131          0          0
257    3.88471    4.01964  -0.161568 0.00156342 0.000306246          0 0.000641209          0          0
258    3.89177    3.98808  -0.126334 0.000848415 5.18584e-05          0 0.00220316          0          0
259    3.92682    4.06331  0.0235122  0.0017166 -0.000137196          0 0.000296649          0          0
260    3.93389    4.05475   -0.20194 0.000914333 -0.00236191          0 4.26364e-05          0          0
261    3.93749    4.07882  0.0874312 0.00170123 0.000207432          0 0.000605826          0          0
262    3.96775    4.08349    0.30244 -0.000858064 -0.00126463          0 -0.000946981          0          0
263    3.98101    4.10581  -0.238586 -0.000316368 0.000323474          0 0.000478425          0          0
264    3.98502    4.13202  -0.126378 0.00145547 -7.97092e-05          0 -8.53829e-05          0          0
265    4.00476     4.1419   0.131419 -0.00123026 0.00298999          0 0.000744882          0          0
266    4.03378    4.13942 -0.0368939 0.000991984 0.00149895          0 0.000232104          0          0
267    4.03939    4.14017  0.0259225 0.00030241 0.00107687          0 0.000523693          0          0
268    4.04876    4.12948  -0.299819 -0.000836813  0.0014725          0 -5.76276e-05          0          0
269    4.05524    4.14636   0.447361 0.000222505 -6.65223e-05          0 0.000634011          0          0
270    4.07817    4.20114  -0.139791 -0.00168082 -0.000685088          0 0.000827544          0          0
271     4.0921    4.19918   0.124363 -0.000917012 0.00340079          0  0.0017581          0          0
272    4.11102    4.24806   -1.10801 0.00205657 -0.00239716          0 -0.000898633          0          0
273    4.11382    4.21046 -0.0380217 0.000792366 -0.00287394          0  0.0020041          0          0
274    4.13798    4.25007 0.00797038 -0.00113391 -0.00041702          0 0.000606354          0          0
275    4.15397    4.25183  -0.175693 -0.000237794 -0.00176838          0 0.00192199          0          0
276    4.16869    4.32059 -0.0325404 -0.000674799 0.000204543          0 -0.00124678          0          0
277    4.19224    4.31977   0.030714 -0.00111051 0.000332289          0 -0.000121584          0          0
278    4.20139     4.2848  0.0438374 0.00310968 -0.00194468          0 0.00181839          0          0
279    4.21806    4.33873   0.286118 -0.000434824 0.000711493          0 -0.00215654          0          0
280    4.23569    4.35094 -0.0241154 -0.000751268 -0.0012042          0 -0.000510866          0          0
281     4.2578    4.38395  0.0618065 0.00160271 -0.00106605          0 0.000119908          0          0
282    4.27286    4.38721  0.0924445 -0.000499831 -0.00045383          0 0.000145273          0          0
283    4.28248    4.40008 -0.0722315 0.00086649 -0.000792123          0 -0.00187183          0          0
284     4.3118    4.43159  0.0426755 0.00165379 0.00052017          0 0.000674243          0          0
285    4.32157    4.40847 -0.0206331  0.0025077 -0.00225699          0 0.00103101          0          0
286    4.34301    4.47871    -0.2398 0.00278418 -0.00257985          0 -0.000160253          0          0
287    4.35964    4.46506   0.101513 0.00166022 -0.000370978          0 0.00103718          0          0
288    4.37075    4.50166 -0.0758384 0.00114112 -0.00162542          0 8.91803e-06          0          0
289    4.39618    4.51796   0.205924 0.000286318 -0.000737686          0 -0.000218318          0          0
290    4.40464    4.51365  -0.194779 -0.00246915 0.00367496          0 0.000744098          0          0
291    4.42124    4.51861  0.0529729 0.00079155 -0.000389976          0 -0.000835555          0          0
292    4.42573     4.5394 -0.0947273 -0.00136037 -2.58431e-05          0 0.000383721          0          0
293    4.44348    4.53689  0.0921591 0.00166737 0.000503887          0 -0.000999623          0          0
294    4.45149    4.55733   0.207694 -0.00154906  0.0015085          0 -0.000267108          0          0
295    4.45887    4.56892  -0.192179 0.00201685 -0.00186881          0 0.000115858          0          0
296    4.47591    4.63724  -0.206316 -0.00103672 -0.00137114          0 0.000733989          0          0
297    4.49255    4.62243  0.0953812 0.00121573 -0.00017306          0 -0.000619836          0          0
298    4.51673    4.62766  0.0714436 0.00213199 0.000391307          0 -0.000499347          0          0
299    4.53992    4.63883  0.0603093 -0.0010897 -0.000231056          0 0.000973909          0          0
300    4.55027    4.68878 -0.0220023 0.00126489 -0.000382204          0 0.00176427          0          0
301     4.5593    4.67983  0.0518498 0.00262564 0.00103775          0 0.000762174          0          0
302    4.57221    4.67149   0.219266 0.000732056 -0.00102837          0  0.0014259          0          0
303    4.59266    4.67093  0.0166389 0.00147229 -0.00428777          0 -0.0024767          0          0
304    4.60406     4.6877  -0.127394 -0.00344434  0.0035863          0 0.00024232          0          0
305    4.61777    4.72078  -0.751476 0.000114659 -0.00175944          0 -0.000332152          0          0
306    4.62662    4.74224  -0.152486 0.000331767 0.000360361          0 -0.000406887          0          0
307    4.64609     4.7563   0.133946 -0.0025335 9.7982e-05          0 -0.00139474          0          0
308    4.66767    4.77797  0.0454447 -0.00103823 0.00164246          0 0.000645044          0          0
309    4.68831    4.80829  0.0450936 0.00120913 0.000337949          0 -0.00223101          0          0
310    4.70867    4.82307  -0.096161 0.00226319 -0.00168249          0 0.00211348          0          0
311    4.72076     4.8461  0.0877908 -0.00204553 0.000832856          0 -0.000139891          0          0
312    4.72971    4.85931  -0.359741 0.000298025 0.000251631          0 0.00191034          0          0
313    4.74255    4.85551  0.0293519 0.00153087 -0.000680111          0 -0.00205714          0          0
